12	3	5	11	15	4	8	6	2	13	-999																														
2	12	11	3	13	7	10	4	8	9	-999																														
6	3	7	12	4	10	8	5	11	9	-999																														
7	3	4	15	2	9	14	8	13	5	-999																														
9	7	5	14	2	6	13	4	11	3	-999																														
2	8	15	1	10	5	19	3	6	12	16	17	14	13	7	-999																									
12	19	10	13	8	20	16	15	4	3	14	5	2	9	18	-999																									
18	20	4	2	10	19	17	16	11	3	9	7	1	5	6	-999																									
11	10	7	2	14	9	4	5	15	17	1	12	20	18	19	-999																									
19	3	10	2	14	16	20	5	11	18	7	6	13	17	8	-999																									
6	25	7	3	1	17	8	13	4	9	21	10	22	14	23	19	11	24	12	18	-999																				
4	19	24	9	8	22	11	18	14	15	10	17	2	1	25	20	7	3	21	13	-999																				
15	4	24	1	9	19	6	22	7	10	8	23	14	18	5	16	17	12	3	13	-999																				
12	1	9	20	18	17	7	24	23	2	22	25	8	15	13	11	4	14	6	3	-999																				
11	8	14	2	18	20	5	22	15	19	1	6	10	25	17	13	21	4	24	23	-999																				
12	18	5	11	30	19	23	15	6	2	28	26	3	7	22	25	4	27	9	10	20	24	29	17	21	-999															
13	19	17	11	3	5	29	27	16	21	10	7	22	4	9	24	25	12	14	18	6	20	1	28	15	-999															
23	1	10	18	4	28	13	17	12	7	6	16	5	21	11	22	8	30	20	9	19	3	27	25	26	-999															
22	3	21	2	27	15	11	7	19	10	5	25	24	20	9	1	8	18	14	30	6	29	4	16	26	-999															
4	14	28	5	24	9	1	19	27	12	30	20	8	13	29	23	11	18	16	17	22	3	25	6	7	-999															
2	28	15	21	10	5	39	3	25	26	12	36	23	37	32	34	13	22	16	8	7	19	30	33	20	24	14	29	38	4	31	9	27	1	6	-999					
11	10	31	7	22	34	29	30	24	5	35	37	1	17	12	25	40	27	4	18	19	39	3	36	26	33	14	2	8	16	15	32	13	28	23	-999					
27	31	14	9	21	32	3	16	11	40	25	18	29	4	36	2	12	37	15	22	5	19	8	28	35	30	17	1	10	39	24	23	6	38	33	-999					
23	19	13	39	20	31	18	32	16	9	37	3	35	33	7	36	34	30	5	17	2	12	22	38	1	4	24	26	6	27	10	21	40	8	15	-999					
35	22	37	32	27	24	34	36	26	14	33	9	2	39	7	23	25	10	16	11	5	20	13	40	31	19	28	3	38	15	8	18	4	29	1	-999					
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	-999
