12	3	5	11	15	4	8	6	2	13	-999															
2	12	11	3	13	7	10	4	8	9	-999															
6	3	7	12	4	10	8	5	11	9	-999															
7	3	4	15	2	9	14	8	13	5	-999															
9	7	5	14	2	6	13	4	11	3	-999															
2	8	15	1	10	5	19	3	6	12	16	17	14	13	7	-999										
12	19	10	13	8	20	16	15	4	3	14	5	2	9	18	-999										
18	20	4	2	10	19	17	16	11	3	9	7	1	5	6	-999										
11	10	7	2	14	9	4	5	15	17	1	12	20	18	19	-999										
19	3	10	2	14	16	20	5	11	18	7	6	13	17	8	-999										
6	25	7	3	1	17	8	13	4	9	21	10	22	14	23	19	11	24	12	18	-999					
4	19	24	9	8	22	11	18	14	15	10	17	2	1	25	20	7	3	21	13	-999					
15	4	24	1	9	19	6	22	7	10	8	23	14	18	5	16	17	12	3	13	-999					
12	1	9	20	18	17	7	24	23	2	22	25	8	15	13	11	4	14	6	3	-999					
11	8	14	2	18	20	5	22	15	19	1	6	10	25	17	13	21	4	24	23	-999					
12	18	5	11	30	19	23	15	6	2	28	26	3	7	22	25	4	27	9	10	20	24	29	17	21	-999
13	19	17	11	3	5	29	27	16	21	10	7	22	4	9	24	25	12	14	18	6	20	1	28	15	-999
23	1	10	18	4	28	13	17	12	7	6	16	5	21	11	22	8	30	20	9	19	3	27	25	26	-999
22	3	21	2	27	15	11	7	19	10	5	25	24	20	9	1	8	18	14	30	6	29	4	16	26	-999
4	14	28	5	24	9	1	19	27	12	30	20	8	13	29	23	11	18	16	17	22	3	25	6	7	-999
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	-999
